price,bedrooms,longitude,link,latitude,sqft,city,date,id_proprio
950.0,1,-122.396965,/sfc/apa/4076905111.html,37.761216,,Paris,2022-01-01,1
950.0,1,-122.396793,/sfc/apa/4076901755.html,37.76108,,Lyon,2022-01-02,2
950.0,1,-122.3971,/sfc/apa/4076899340.html,37.7621,,Annecy,2022-06-09,3
3300.0,1,-122.399747,/sfc/apa/4067393707.html,37.798108,830.0,Boulogne-Billancourt,2022-05-14,4
2000.0,3,,/sfc/apa/4076901071.html,,1280.0,Aix-en-Provence,2022-09-15,5
3850.0,2,,/sfc/apa/4076899828.html,,,Bordeaux,2021-07-16,6
3399.0,,,/sfc/apa/4076892173.html,,,Nice,2021-12-04,7
5250.0,2,,/sfc/apa/4076895917.html,,1000.0,Cannes,2021-08-30,8
950.0,1,-122.397137,/sfc/apa/4076896866.html,37.76203,,Saint-Tropez,2021-05-29,9
950.0,1,-122.39645,/sfc/apa/4076892885.html,37.764065,,Versailles,2021-11-05,10
2950.0,1,-122.440334,/sfc/apa/4076891344.html,37.757405,900.0,Levallois-Perret,2021-09-15,11
3500.0,2,-122.483582,/sfc/apa/4060191270.html,37.748315,1400.0,Saint-Jean-Cap-Ferrat,2022-01-01,12
2800.0,1,-122.41928,/sfc/apa/4076859550.html,37.800361,720.0,Neuilly-sur-Seine,2022-01-02,13
2700.0,1,-122.4091,/sfc/apa/4076794143.html,37.8002,720.0,Ramatuelle,2022-06-09,14
2100.0,1,-122.439626,/sfc/apa/4076879610.html,37.719284,,Saint-Mandé,2022-05-14,15
2600.0,2,-122.43985,/sfc/apa/4041653284.html,37.723481,900.0,Vincennes,2022-09-15,16
2850.0,2,-122.4836,/sfc/apa/4076867759.html,37.7593,,Issy-les-Moulineaux,2021-07-16,17
3500.0,2,-122.4186,/sfc/apa/4076794509.html,37.7917,1054.0,Suresnes,2021-12-04,18
6100.0,3,-122.435472,/sfc/apa/4050301632.html,37.765727,,Saint-Cloud,2021-08-30,19
6495.0,3,-122.435472,/sfc/apa/4050192349.html,37.765727,,Paris,2021-05-29,20
890.0,,,/sfc/apa/4076829439.html,,,Lyon,2021-11-05,1
2800.0,1,-122.443753,/sfc/apa/4076869885.html,37.787647,,Annecy,2021-09-15,2
3500.0,2,-122.445535,/sfc/apa/4076867004.html,37.771142,960.0,Boulogne-Billancourt,2022-01-01,3
2200.0,2,-122.4614,/sfc/apa/4076851460.html,37.7812,700.0,Aix-en-Provence,2022-01-02,4
3695.0,1,,/sfc/apa/4076843126.html,,,Bordeaux,2022-06-09,5
3000.0,3,-122.391171,/sfc/apa/4072178511.html,37.719829,1476.0,Nice,2022-05-14,6
4500.0,1,,/sfc/apa/4052254551.html,,900.0,Cannes,2022-09-15,7
